District,Geograpical Area (Sq.Kms),Population Density,Male,Female,Total,Percentage Share to Total Population,Rank
Mudalagi,397,538,107522,106249,213771,4.47,12
Jamakhandi,882,307,132591,131380,263971,13.97,3
Bilagi,781,206,80147,80147,160294,8.48,7
Mudhol,859,287,124999,125194,250193,13.24,4
Badami,1069,227,121871,119544,241415,12.77,5
Bagalkote,935,307,143220,141894,285114,15.09,1
Hungund,733,218,77228,75981,153209,8.11,8
Guledagudda,316,275,44877,44568,89445,4.73,9
Ilkal,626,258,84513,83616,168129,8.9,6
Rabakavi Banahatti,351,732,140665,137317,277982,14.71,2
...,,,,,,,
